year,GEOID,NAME,variable,estimate,moe
2005,4748000,"Memphis city, Tennessee",B07011_001,19914,670
2005,4748000,"Memphis city, Tennessee",B07011_002,21401,747
2005,4748000,"Memphis city, Tennessee",B07011_003,15624,2075
2005,4748000,"Memphis city, Tennessee",B07011_004,9462,4535
2005,4748000,"Memphis city, Tennessee",B07011_005,16229,1843
2005,4748000,"Memphis city, Tennessee",B07011_006,4789,10667
2006,4748000,"Memphis city, Tennessee",B07011_001,20016,703
2006,4748000,"Memphis city, Tennessee",B07011_002,20691,712
2006,4748000,"Memphis city, Tennessee",B07011_003,15812,1422
2006,4748000,"Memphis city, Tennessee",B07011_004,14427,11899
2006,4748000,"Memphis city, Tennessee",B07011_005,23867,3748
2006,4748000,"Memphis city, Tennessee",B07011_006,19405,6302
2007,4748000,"Memphis city, Tennessee",B07011_001,20662,465
2007,4748000,"Memphis city, Tennessee",B07011_002,21510,593
2007,4748000,"Memphis city, Tennessee",B07011_003,16110,1445
2007,4748000,"Memphis city, Tennessee",B07011_004,21726,9582
2007,4748000,"Memphis city, Tennessee",B07011_005,20628,4508
2007,4748000,"Memphis city, Tennessee",B07011_006,21753,6190
2008,4748000,"Memphis city, Tennessee",B07011_001,21282,613
2008,4748000,"Memphis city, Tennessee",B07011_002,22679,822
2008,4748000,"Memphis city, Tennessee",B07011_003,16332,1397
2008,4748000,"Memphis city, Tennessee",B07011_004,12344,13161
2008,4748000,"Memphis city, Tennessee",B07011_005,18657,3223
2008,4748000,"Memphis city, Tennessee",B07011_006,12580,10033
2009,4748000,"Memphis city, Tennessee",B07011_001,19359,677
2009,4748000,"Memphis city, Tennessee",B07011_002,20424,809
2009,4748000,"Memphis city, Tennessee",B07011_003,15790,1419
2009,4748000,"Memphis city, Tennessee",B07011_004,11405,4647
2009,4748000,"Memphis city, Tennessee",B07011_005,20383,4403
2009,4748000,"Memphis city, Tennessee",B07011_006,11427,3133
2010,4748000,"Memphis city, Tennessee",B07011_001,21186,619
2010,4748000,"Memphis city, Tennessee",B07011_002,22335,811
2010,4748000,"Memphis city, Tennessee",B07011_003,15585,1206
2010,4748000,"Memphis city, Tennessee",B07011_004,13398,4833
2010,4748000,"Memphis city, Tennessee",B07011_005,22329,3722
2010,4748000,"Memphis city, Tennessee",B07011_006,41375,4522
2011,4748000,"Memphis city, Tennessee",B07011_001,20544,633
2011,4748000,"Memphis city, Tennessee",B07011_002,21626,727
2011,4748000,"Memphis city, Tennessee",B07011_003,16417,1563
2011,4748000,"Memphis city, Tennessee",B07011_004,15860,4804
2011,4748000,"Memphis city, Tennessee",B07011_005,20382,2953
2011,4748000,"Memphis city, Tennessee",B07011_006,12067,10707
2012,4748000,"Memphis city, Tennessee",B07011_001,20561,438
2012,4748000,"Memphis city, Tennessee",B07011_002,21677,531
2012,4748000,"Memphis city, Tennessee",B07011_003,14496,1989
2012,4748000,"Memphis city, Tennessee",B07011_004,11606,3576
2012,4748000,"Memphis city, Tennessee",B07011_005,20901,4181
2012,4748000,"Memphis city, Tennessee",B07011_006,20235,7282
2013,4748000,"Memphis city, Tennessee",B07011_001,21532,526
2013,4748000,"Memphis city, Tennessee",B07011_002,22141,662
2013,4748000,"Memphis city, Tennessee",B07011_003,20075,1547
2013,4748000,"Memphis city, Tennessee",B07011_004,8034,7103
2013,4748000,"Memphis city, Tennessee",B07011_005,21583,3094
2013,4748000,"Memphis city, Tennessee",B07011_006,18361,4434
2014,4748000,"Memphis city, Tennessee",B07011_001,20629,523
2014,4748000,"Memphis city, Tennessee",B07011_002,21203,651
2014,4748000,"Memphis city, Tennessee",B07011_003,16921,1220
2014,4748000,"Memphis city, Tennessee",B07011_004,15379,3600
2014,4748000,"Memphis city, Tennessee",B07011_005,21589,2464
2014,4748000,"Memphis city, Tennessee",B07011_006,20095,16816
2015,4748000,"Memphis city, Tennessee",B07011_001,21851,442
2015,4748000,"Memphis city, Tennessee",B07011_002,22285,556
2015,4748000,"Memphis city, Tennessee",B07011_003,18102,1722
2015,4748000,"Memphis city, Tennessee",B07011_004,17178,14876
2015,4748000,"Memphis city, Tennessee",B07011_005,23736,2997
2015,4748000,"Memphis city, Tennessee",B07011_006,19648,4088
2016,4748000,"Memphis city, Tennessee",B07011_001,23065,942
2016,4748000,"Memphis city, Tennessee",B07011_002,23846,1018
2016,4748000,"Memphis city, Tennessee",B07011_003,20077,1669
2016,4748000,"Memphis city, Tennessee",B07011_004,26631,6011
2016,4748000,"Memphis city, Tennessee",B07011_005,21596,9304
2016,4748000,"Memphis city, Tennessee",B07011_006,22622,8136
2017,4748000,"Memphis city, Tennessee",B07011_001,23870,906
2017,4748000,"Memphis city, Tennessee",B07011_002,24017,1008
2017,4748000,"Memphis city, Tennessee",B07011_003,22295,1813
2017,4748000,"Memphis city, Tennessee",B07011_004,21176,4791
2017,4748000,"Memphis city, Tennessee",B07011_005,26593,3164
2017,4748000,"Memphis city, Tennessee",B07011_006,12039,23231
2018,4748000,"Memphis city, Tennessee",B07011_001,24252,989
2018,4748000,"Memphis city, Tennessee",B07011_002,24990,959
2018,4748000,"Memphis city, Tennessee",B07011_003,19898,2788
2018,4748000,"Memphis city, Tennessee",B07011_004,18345,8971
2018,4748000,"Memphis city, Tennessee",B07011_005,26532,2806
2018,4748000,"Memphis city, Tennessee",B07011_006,13934,17686
2019,4748000,"Memphis city, Tennessee",B07011_001,25790,722
2019,4748000,"Memphis city, Tennessee",B07011_002,26077,806
2019,4748000,"Memphis city, Tennessee",B07011_003,21492,1184
2019,4748000,"Memphis city, Tennessee",B07011_004,26634,6958
2019,4748000,"Memphis city, Tennessee",B07011_005,29002,4134
2019,4748000,"Memphis city, Tennessee",B07011_006,19932,32889
2005,4748000,"Memphis city, Tennessee",B07013_001,630694,10196
2005,4748000,"Memphis city, Tennessee",B07013_002,358361,11705
2005,4748000,"Memphis city, Tennessee",B07013_003,272333,12524
2005,4748000,"Memphis city, Tennessee",B07013_004,486133,14460
2005,4748000,"Memphis city, Tennessee",B07013_005,322983,11282
2005,4748000,"Memphis city, Tennessee",B07013_006,163150,11477
2005,4748000,"Memphis city, Tennessee",B07013_007,114688,10959
2005,4748000,"Memphis city, Tennessee",B07013_008,25988,5453
2005,4748000,"Memphis city, Tennessee",B07013_009,88700,10969
2005,4748000,"Memphis city, Tennessee",B07013_010,3645,1517
2005,4748000,"Memphis city, Tennessee",B07013_011,1403,719
2005,4748000,"Memphis city, Tennessee",B07013_012,2242,1134
2005,4748000,"Memphis city, Tennessee",B07013_013,23479,4943
2005,4748000,"Memphis city, Tennessee",B07013_014,7793,2918
2005,4748000,"Memphis city, Tennessee",B07013_015,15686,4053
2005,4748000,"Memphis city, Tennessee",B07013_016,2749,1633
2005,4748000,"Memphis city, Tennessee",B07013_017,194,164
2005,4748000,"Memphis city, Tennessee",B07013_018,2555,1628
2006,4748000,"Memphis city, Tennessee",B07013_001,609171,9895
2006,4748000,"Memphis city, Tennessee",B07013_002,340664,13052
2006,4748000,"Memphis city, Tennessee",B07013_003,268507,12685
2006,4748000,"Memphis city, Tennessee",B07013_004,485448,12237
2006,4748000,"Memphis city, Tennessee",B07013_005,313560,12961
2006,4748000,"Memphis city, Tennessee",B07013_006,171888,11739
2006,4748000,"Memphis city, Tennessee",B07013_007,101977,10168
2006,4748000,"Memphis city, Tennessee",B07013_008,21239,4538
2006,4748000,"Memphis city, Tennessee",B07013_009,80738,9123
2006,4748000,"Memphis city, Tennessee",B07013_010,4183,2443
2006,4748000,"Memphis city, Tennessee",B07013_011,1530,1691
2006,4748000,"Memphis city, Tennessee",B07013_012,2653,1376
2006,4748000,"Memphis city, Tennessee",B07013_013,15193,2998
2006,4748000,"Memphis city, Tennessee",B07013_014,3647,1150
2006,4748000,"Memphis city, Tennessee",B07013_015,11546,2862
2006,4748000,"Memphis city, Tennessee",B07013_016,2370,872
2006,4748000,"Memphis city, Tennessee",B07013_017,688,488
2006,4748000,"Memphis city, Tennessee",B07013_018,1682,676
2007,4748000,"Memphis city, Tennessee",B07013_001,611009,9854
2007,4748000,"Memphis city, Tennessee",B07013_002,338890,13201
2007,4748000,"Memphis city, Tennessee",B07013_003,272119,12662
2007,4748000,"Memphis city, Tennessee",B07013_004,487862,16278
2007,4748000,"Memphis city, Tennessee",B07013_005,313724,13850
2007,4748000,"Memphis city, Tennessee",B07013_006,174138,12416
2007,4748000,"Memphis city, Tennessee",B07013_007,100205,10865
2007,4748000,"Memphis city, Tennessee",B07013_008,17811,3101
2007,4748000,"Memphis city, Tennessee",B07013_009,82394,10081
2007,4748000,"Memphis city, Tennessee",B07013_010,4357,1314
2007,4748000,"Memphis city, Tennessee",B07013_011,1557,795
2007,4748000,"Memphis city, Tennessee",B07013_012,2800,1067
2007,4748000,"Memphis city, Tennessee",B07013_013,15794,2987
2007,4748000,"Memphis city, Tennessee",B07013_014,5127,1564
2007,4748000,"Memphis city, Tennessee",B07013_015,10667,2541
2007,4748000,"Memphis city, Tennessee",B07013_016,2791,1272
2007,4748000,"Memphis city, Tennessee",B07013_017,671,384
2007,4748000,"Memphis city, Tennessee",B07013_018,2120,1114
2008,4748000,"Memphis city, Tennessee",B07013_001,606987,10880
2008,4748000,"Memphis city, Tennessee",B07013_002,342868,10661
2008,4748000,"Memphis city, Tennessee",B07013_003,264119,10962
2008,4748000,"Memphis city, Tennessee",B07013_004,473121,12143
2008,4748000,"Memphis city, Tennessee",B07013_005,313426,9511
2008,4748000,"Memphis city, Tennessee",B07013_006,159695,10273
2008,4748000,"Memphis city, Tennessee",B07013_007,111393,9987
2008,4748000,"Memphis city, Tennessee",B07013_008,23995,4666
2008,4748000,"Memphis city, Tennessee",B07013_009,87398,9202
2008,4748000,"Memphis city, Tennessee",B07013_010,3497,1114
2008,4748000,"Memphis city, Tennessee",B07013_011,904,514
2008,4748000,"Memphis city, Tennessee",B07013_012,2593,1124
2008,4748000,"Memphis city, Tennessee",B07013_013,15099,2323
2008,4748000,"Memphis city, Tennessee",B07013_014,3892,1017
2008,4748000,"Memphis city, Tennessee",B07013_015,11207,2232
2008,4748000,"Memphis city, Tennessee",B07013_016,3877,2122
2008,4748000,"Memphis city, Tennessee",B07013_017,651,355
2008,4748000,"Memphis city, Tennessee",B07013_018,3226,2098
2009,4748000,"Memphis city, Tennessee",B07013_001,647105,4768
2009,4748000,"Memphis city, Tennessee",B07013_002,349084,14610
2009,4748000,"Memphis city, Tennessee",B07013_003,298021,14319
2009,4748000,"Memphis city, Tennessee",B07013_004,520401,12094
2009,4748000,"Memphis city, Tennessee",B07013_005,329974,14204
2009,4748000,"Memphis city, Tennessee",B07013_006,190427,13153
2009,4748000,"Memphis city, Tennessee",B07013_007,103709,10639
2009,4748000,"Memphis city, Tennessee",B07013_008,15225,3387
2009,4748000,"Memphis city, Tennessee",B07013_009,88484,10538
2009,4748000,"Memphis city, Tennessee",B07013_010,4176,1679
2009,4748000,"Memphis city, Tennessee",B07013_011,1296,1094
2009,4748000,"Memphis city, Tennessee",B07013_012,2880,1293
2009,4748000,"Memphis city, Tennessee",B07013_013,17458,3900
2009,4748000,"Memphis city, Tennessee",B07013_014,2333,1079
2009,4748000,"Memphis city, Tennessee",B07013_015,15125,3841
2009,4748000,"Memphis city, Tennessee",B07013_016,1361,772
2009,4748000,"Memphis city, Tennessee",B07013_017,256,312
2009,4748000,"Memphis city, Tennessee",B07013_018,1105,716
2010,4748000,"Memphis city, Tennessee",B07013_001,618624,5241
2010,4748000,"Memphis city, Tennessee",B07013_002,321530,10664
2010,4748000,"Memphis city, Tennessee",B07013_003,297094,10786
2010,4748000,"Memphis city, Tennessee",B07013_004,502759,8010
2010,4748000,"Memphis city, Tennessee",B07013_005,301067,10429
2010,4748000,"Memphis city, Tennessee",B07013_006,201692,10989
2010,4748000,"Memphis city, Tennessee",B07013_007,96361,7708
2010,4748000,"Memphis city, Tennessee",B07013_008,16306,3514
2010,4748000,"Memphis city, Tennessee",B07013_009,80055,7369
2010,4748000,"Memphis city, Tennessee",B07013_010,4014,1752
2010,4748000,"Memphis city, Tennessee",B07013_011,797,440
2010,4748000,"Memphis city, Tennessee",B07013_012,3217,1612
2010,4748000,"Memphis city, Tennessee",B07013_013,13537,2473
2010,4748000,"Memphis city, Tennessee",B07013_014,2937,1482
2010,4748000,"Memphis city, Tennessee",B07013_015,10600,2356
2010,4748000,"Memphis city, Tennessee",B07013_016,1953,910
2010,4748000,"Memphis city, Tennessee",B07013_017,423,279
2010,4748000,"Memphis city, Tennessee",B07013_018,1530,870
2011,4748000,"Memphis city, Tennessee",B07013_001,628788,2882
2011,4748000,"Memphis city, Tennessee",B07013_002,314014,12584
2011,4748000,"Memphis city, Tennessee",B07013_003,314774,12392
2011,4748000,"Memphis city, Tennessee",B07013_004,500038,11225
2011,4748000,"Memphis city, Tennessee",B07013_005,295533,12487
2011,4748000,"Memphis city, Tennessee",B07013_006,204505,12684
2011,4748000,"Memphis city, Tennessee",B07013_007,107668,10540
2011,4748000,"Memphis city, Tennessee",B07013_008,13534,3470
2011,4748000,"Memphis city, Tennessee",B07013_009,94134,9503
2011,4748000,"Memphis city, Tennessee",B07013_010,3486,1273
2011,4748000,"Memphis city, Tennessee",B07013_011,605,503
2011,4748000,"Memphis city, Tennessee",B07013_012,2881,1175
2011,4748000,"Memphis city, Tennessee",B07013_013,15086,3372
2011,4748000,"Memphis city, Tennessee",B07013_014,3688,1313
2011,4748000,"Memphis city, Tennessee",B07013_015,11398,3071
2011,4748000,"Memphis city, Tennessee",B07013_016,2510,1303
2011,4748000,"Memphis city, Tennessee",B07013_017,654,466
2011,4748000,"Memphis city, Tennessee",B07013_018,1856,1234
2012,4748000,"Memphis city, Tennessee",B07013_001,629557,2901
2012,4748000,"Memphis city, Tennessee",B07013_002,314390,12301
2012,4748000,"Memphis city, Tennessee",B07013_003,315167,12320
2012,4748000,"Memphis city, Tennessee",B07013_004,512406,8147
2012,4748000,"Memphis city, Tennessee",B07013_005,297301,11962
2012,4748000,"Memphis city, Tennessee",B07013_006,215105,10396
2012,4748000,"Memphis city, Tennessee",B07013_007,91107,7686
2012,4748000,"Memphis city, Tennessee",B07013_008,11279,2395
2012,4748000,"Memphis city, Tennessee",B07013_009,79828,7557
2012,4748000,"Memphis city, Tennessee",B07013_010,5120,1860
2012,4748000,"Memphis city, Tennessee",B07013_011,1027,515
2012,4748000,"Memphis city, Tennessee",B07013_012,4093,1663
2012,4748000,"Memphis city, Tennessee",B07013_013,18188,3794
2012,4748000,"Memphis city, Tennessee",B07013_014,3714,1197
2012,4748000,"Memphis city, Tennessee",B07013_015,14474,3521
2012,4748000,"Memphis city, Tennessee",B07013_016,2736,1163
2012,4748000,"Memphis city, Tennessee",B07013_017,1069,796
2012,4748000,"Memphis city, Tennessee",B07013_018,1667,708
2013,4748000,"Memphis city, Tennessee",B07013_001,627910,2936
2013,4748000,"Memphis city, Tennessee",B07013_002,304640,11148
2013,4748000,"Memphis city, Tennessee",B07013_003,323270,10957
2013,4748000,"Memphis city, Tennessee",B07013_004,509424,9857
2013,4748000,"Memphis city, Tennessee",B07013_005,285684,10951
2013,4748000,"Memphis city, Tennessee",B07013_006,223740,12378
2013,4748000,"Memphis city, Tennessee",B07013_007,96075,8180
2013,4748000,"Memphis city, Tennessee",B07013_008,14529,3167
2013,4748000,"Memphis city, Tennessee",B07013_009,81546,8205
2013,4748000,"Memphis city, Tennessee",B07013_010,3702,1400
2013,4748000,"Memphis city, Tennessee",B07013_011,1008,468
2013,4748000,"Memphis city, Tennessee",B07013_012,2694,1299
2013,4748000,"Memphis city, Tennessee",B07013_013,16368,4486
2013,4748000,"Memphis city, Tennessee",B07013_014,3164,1374
2013,4748000,"Memphis city, Tennessee",B07013_015,13204,4187
2013,4748000,"Memphis city, Tennessee",B07013_016,2341,1141
2013,4748000,"Memphis city, Tennessee",B07013_017,255,241
2013,4748000,"Memphis city, Tennessee",B07013_018,2086,1121
2014,4748000,"Memphis city, Tennessee",B07013_001,634003,2847
2014,4748000,"Memphis city, Tennessee",B07013_002,297703,10858
2014,4748000,"Memphis city, Tennessee",B07013_003,336300,10957
2014,4748000,"Memphis city, Tennessee",B07013_004,512104,9558
2014,4748000,"Memphis city, Tennessee",B07013_005,279553,10557
2014,4748000,"Memphis city, Tennessee",B07013_006,232551,11362
2014,4748000,"Memphis city, Tennessee",B07013_007,96766,8123
2014,4748000,"Memphis city, Tennessee",B07013_008,13574,2825
2014,4748000,"Memphis city, Tennessee",B07013_009,83192,8206
2014,4748000,"Memphis city, Tennessee",B07013_010,4502,1442
2014,4748000,"Memphis city, Tennessee",B07013_011,1121,611
2014,4748000,"Memphis city, Tennessee",B07013_012,3381,1281
2014,4748000,"Memphis city, Tennessee",B07013_013,18886,3931
2014,4748000,"Memphis city, Tennessee",B07013_014,2872,1222
2014,4748000,"Memphis city, Tennessee",B07013_015,16014,3871
2014,4748000,"Memphis city, Tennessee",B07013_016,1745,770
2014,4748000,"Memphis city, Tennessee",B07013_017,583,396
2014,4748000,"Memphis city, Tennessee",B07013_018,1162,695
2015,4748000,"Memphis city, Tennessee",B07013_001,629799,2984
2015,4748000,"Memphis city, Tennessee",B07013_002,300671,13328
2015,4748000,"Memphis city, Tennessee",B07013_003,329128,13627
2015,4748000,"Memphis city, Tennessee",B07013_004,525541,8632
2015,4748000,"Memphis city, Tennessee",B07013_005,280157,12110
2015,4748000,"Memphis city, Tennessee",B07013_006,245384,13093
2015,4748000,"Memphis city, Tennessee",B07013_007,79965,7422
2015,4748000,"Memphis city, Tennessee",B07013_008,14237,3962
2015,4748000,"Memphis city, Tennessee",B07013_009,65728,7104
2015,4748000,"Memphis city, Tennessee",B07013_010,3975,1337
2015,4748000,"Memphis city, Tennessee",B07013_011,1102,605
2015,4748000,"Memphis city, Tennessee",B07013_012,2873,1171
2015,4748000,"Memphis city, Tennessee",B07013_013,17378,4194
2015,4748000,"Memphis city, Tennessee",B07013_014,4164,1495
2015,4748000,"Memphis city, Tennessee",B07013_015,13214,4113
2015,4748000,"Memphis city, Tennessee",B07013_016,2940,1825
2015,4748000,"Memphis city, Tennessee",B07013_017,1011,631
2015,4748000,"Memphis city, Tennessee",B07013_018,1929,1694
2016,4748000,"Memphis city, Tennessee",B07013_001,627754,2652
2016,4748000,"Memphis city, Tennessee",B07013_002,273421,11799
2016,4748000,"Memphis city, Tennessee",B07013_003,354333,12158
2016,4748000,"Memphis city, Tennessee",B07013_004,519360,10652
2016,4748000,"Memphis city, Tennessee",B07013_005,258646,11081
2016,4748000,"Memphis city, Tennessee",B07013_006,260714,11886
2016,4748000,"Memphis city, Tennessee",B07013_007,89249,10378
2016,4748000,"Memphis city, Tennessee",B07013_008,10830,2131
2016,4748000,"Memphis city, Tennessee",B07013_009,78419,10119
2016,4748000,"Memphis city, Tennessee",B07013_010,5491,2660
2016,4748000,"Memphis city, Tennessee",B07013_011,1922,1492
2016,4748000,"Memphis city, Tennessee",B07013_012,3569,2214
2016,4748000,"Memphis city, Tennessee",B07013_013,12112,2475
2016,4748000,"Memphis city, Tennessee",B07013_014,1599,669
2016,4748000,"Memphis city, Tennessee",B07013_015,10513,2398
2016,4748000,"Memphis city, Tennessee",B07013_016,1542,944
2016,4748000,"Memphis city, Tennessee",B07013_017,424,300
2016,4748000,"Memphis city, Tennessee",B07013_018,1118,857
2017,4748000,"Memphis city, Tennessee",B07013_001,629940,2755
2017,4748000,"Memphis city, Tennessee",B07013_002,295884,10542
2017,4748000,"Memphis city, Tennessee",B07013_003,334056,10943
2017,4748000,"Memphis city, Tennessee",B07013_004,533649,8300
2017,4748000,"Memphis city, Tennessee",B07013_005,278822,10513
2017,4748000,"Memphis city, Tennessee",B07013_006,254827,12351
2017,4748000,"Memphis city, Tennessee",B07013_007,75649,7862
2017,4748000,"Memphis city, Tennessee",B07013_008,11945,2125
2017,4748000,"Memphis city, Tennessee",B07013_009,63704,7707
2017,4748000,"Memphis city, Tennessee",B07013_010,4855,1918
2017,4748000,"Memphis city, Tennessee",B07013_011,548,407
2017,4748000,"Memphis city, Tennessee",B07013_012,4307,1881
2017,4748000,"Memphis city, Tennessee",B07013_013,14045,3327
2017,4748000,"Memphis city, Tennessee",B07013_014,3271,1433
2017,4748000,"Memphis city, Tennessee",B07013_015,10774,2694
2017,4748000,"Memphis city, Tennessee",B07013_016,1742,861
2017,4748000,"Memphis city, Tennessee",B07013_017,1298,754
2017,4748000,"Memphis city, Tennessee",B07013_018,444,354
2018,4748000,"Memphis city, Tennessee",B07013_001,626232,3081
2018,4748000,"Memphis city, Tennessee",B07013_002,298887,12591
2018,4748000,"Memphis city, Tennessee",B07013_003,327345,12273
2018,4748000,"Memphis city, Tennessee",B07013_004,544500,8169
2018,4748000,"Memphis city, Tennessee",B07013_005,280347,12233
2018,4748000,"Memphis city, Tennessee",B07013_006,264153,13365
2018,4748000,"Memphis city, Tennessee",B07013_007,63295,7467
2018,4748000,"Memphis city, Tennessee",B07013_008,14393,3166
2018,4748000,"Memphis city, Tennessee",B07013_009,48902,6613
2018,4748000,"Memphis city, Tennessee",B07013_010,1721,743
2018,4748000,"Memphis city, Tennessee",B07013_011,451,334
2018,4748000,"Memphis city, Tennessee",B07013_012,1270,655
2018,4748000,"Memphis city, Tennessee",B07013_013,14502,3234
2018,4748000,"Memphis city, Tennessee",B07013_014,3024,1013
2018,4748000,"Memphis city, Tennessee",B07013_015,11478,3029
2018,4748000,"Memphis city, Tennessee",B07013_016,2214,965
2018,4748000,"Memphis city, Tennessee",B07013_017,672,412
2018,4748000,"Memphis city, Tennessee",B07013_018,1542,860
2019,4748000,"Memphis city, Tennessee",B07013_001,629249,3072
2019,4748000,"Memphis city, Tennessee",B07013_002,307825,12938
2019,4748000,"Memphis city, Tennessee",B07013_003,321424,12733
2019,4748000,"Memphis city, Tennessee",B07013_004,544605,9983
2019,4748000,"Memphis city, Tennessee",B07013_005,290991,12698
2019,4748000,"Memphis city, Tennessee",B07013_006,253614,14658
2019,4748000,"Memphis city, Tennessee",B07013_007,66572,9302
2019,4748000,"Memphis city, Tennessee",B07013_008,11741,2542
2019,4748000,"Memphis city, Tennessee",B07013_009,54831,8670
2019,4748000,"Memphis city, Tennessee",B07013_010,4069,1772
2019,4748000,"Memphis city, Tennessee",B07013_011,1252,734
2019,4748000,"Memphis city, Tennessee",B07013_012,2817,1646
2019,4748000,"Memphis city, Tennessee",B07013_013,12976,3200
2019,4748000,"Memphis city, Tennessee",B07013_014,3354,1327
2019,4748000,"Memphis city, Tennessee",B07013_015,9622,2514
2019,4748000,"Memphis city, Tennessee",B07013_016,1027,508
