GEOID,NAME
47157,"Shelby County, Tennessee"
47157000100,"Census Tract 1, Shelby County, Tennessee"
471570001001,"Block Group 1, Census Tract 1, Shelby County, Tennessee"
471570001002,"Block Group 2, Census Tract 1, Shelby County, Tennessee"
471570001003,"Block Group 3, Census Tract 1, Shelby County, Tennessee"
47157000200,"Census Tract 2, Shelby County, Tennessee"
471570002001,"Block Group 1, Census Tract 2, Shelby County, Tennessee"
47157000300,"Census Tract 3, Shelby County, Tennessee"
471570003001,"Block Group 1, Census Tract 3, Shelby County, Tennessee"
47157000400,"Census Tract 4, Shelby County, Tennessee"
471570004001,"Block Group 1, Census Tract 4, Shelby County, Tennessee"
471570004002,"Block Group 2, Census Tract 4, Shelby County, Tennessee"
47157000600,"Census Tract 6, Shelby County, Tennessee"
471570006001,"Block Group 1, Census Tract 6, Shelby County, Tennessee"
471570006002,"Block Group 2, Census Tract 6, Shelby County, Tennessee"
47157000700,"Census Tract 7, Shelby County, Tennessee"
471570007001,"Block Group 1, Census Tract 7, Shelby County, Tennessee"
471570007002,"Block Group 2, Census Tract 7, Shelby County, Tennessee"
471570007003,"Block Group 3, Census Tract 7, Shelby County, Tennessee"
471570007004,"Block Group 4, Census Tract 7, Shelby County, Tennessee"
47157000800,"Census Tract 8, Shelby County, Tennessee"
471570008001,"Block Group 1, Census Tract 8, Shelby County, Tennessee"
471570008002,"Block Group 2, Census Tract 8, Shelby County, Tennessee"
471570008003,"Block Group 3, Census Tract 8, Shelby County, Tennessee"
47157000900,"Census Tract 9, Shelby County, Tennessee"
471570009001,"Block Group 1, Census Tract 9, Shelby County, Tennessee"
471570009002,"Block Group 2, Census Tract 9, Shelby County, Tennessee"
471570009003,"Block Group 3, Census Tract 9, Shelby County, Tennessee"
47157001100,"Census Tract 11, Shelby County, Tennessee"
471570011001,"Block Group 1, Census Tract 11, Shelby County, Tennessee"
471570011002,"Block Group 2, Census Tract 11, Shelby County, Tennessee"
471570011003,"Block Group 3, Census Tract 11, Shelby County, Tennessee"
47157001200,"Census Tract 12, Shelby County, Tennessee"
471570012001,"Block Group 1, Census Tract 12, Shelby County, Tennessee"
471570012002,"Block Group 2, Census Tract 12, Shelby County, Tennessee"
471570012003,"Block Group 3, Census Tract 12, Shelby County, Tennessee"
47157001300,"Census Tract 13, Shelby County, Tennessee"
471570013001,"Block Group 1, Census Tract 13, Shelby County, Tennessee"
471570013002,"Block Group 2, Census Tract 13, Shelby County, Tennessee"
471570013003,"Block Group 3, Census Tract 13, Shelby County, Tennessee"
471570013004,"Block Group 4, Census Tract 13, Shelby County, Tennessee"
47157001400,"Census Tract 14, Shelby County, Tennessee"
471570014001,"Block Group 1, Census Tract 14, Shelby County, Tennessee"
47157001500,"Census Tract 15, Shelby County, Tennessee"
471570015001,"Block Group 1, Census Tract 15, Shelby County, Tennessee"
471570015002,"Block Group 2, Census Tract 15, Shelby County, Tennessee"
47157001600,"Census Tract 16, Shelby County, Tennessee"
471570016001,"Block Group 1, Census Tract 16, Shelby County, Tennessee"
471570016002,"Block Group 2, Census Tract 16, Shelby County, Tennessee"
47157001700,"Census Tract 17, Shelby County, Tennessee"
471570017001,"Block Group 1, Census Tract 17, Shelby County, Tennessee"
471570017002,"Block Group 2, Census Tract 17, Shelby County, Tennessee"
471570017003,"Block Group 3, Census Tract 17, Shelby County, Tennessee"
47157001900,"Census Tract 19, Shelby County, Tennessee"
471570019001,"Block Group 1, Census Tract 19, Shelby County, Tennessee"
471570019002,"Block Group 2, Census Tract 19, Shelby County, Tennessee"
47157002000,"Census Tract 20, Shelby County, Tennessee"
471570020001,"Block Group 1, Census Tract 20, Shelby County, Tennessee"
471570020002,"Block Group 2, Census Tract 20, Shelby County, Tennessee"
47157002100,"Census Tract 21, Shelby County, Tennessee"
471570021001,"Block Group 1, Census Tract 21, Shelby County, Tennessee"
47157002400,"Census Tract 24, Shelby County, Tennessee"
471570024001,"Block Group 1, Census Tract 24, Shelby County, Tennessee"
471570024002,"Block Group 2, Census Tract 24, Shelby County, Tennessee"
471570024003,"Block Group 3, Census Tract 24, Shelby County, Tennessee"
47157002500,"Census Tract 25, Shelby County, Tennessee"
471570025001,"Block Group 1, Census Tract 25, Shelby County, Tennessee"
471570025002,"Block Group 2, Census Tract 25, Shelby County, Tennessee"
47157002600,"Census Tract 26, Shelby County, Tennessee"
471570026001,"Block Group 1, Census Tract 26, Shelby County, Tennessee"
471570026002,"Block Group 2, Census Tract 26, Shelby County, Tennessee"
47157002700,"Census Tract 27, Shelby County, Tennessee"
471570027001,"Block Group 1, Census Tract 27, Shelby County, Tennessee"
471570027002,"Block Group 2, Census Tract 27, Shelby County, Tennessee"
47157002800,"Census Tract 28, Shelby County, Tennessee"
471570028001,"Block Group 1, Census Tract 28, Shelby County, Tennessee"
471570028002,"Block Group 2, Census Tract 28, Shelby County, Tennessee"
471570028003,"Block Group 3, Census Tract 28, Shelby County, Tennessee"
47157002900,"Census Tract 29, Shelby County, Tennessee"
471570029001,"Block Group 1, Census Tract 29, Shelby County, Tennessee"
471570029002,"Block Group 2, Census Tract 29, Shelby County, Tennessee"
471570029003,"Block Group 3, Census Tract 29, Shelby County, Tennessee"
471570029004,"Block Group 4, Census Tract 29, Shelby County, Tennessee"
471570029005,"Block Group 5, Census Tract 29, Shelby County, Tennessee"
47157003000,"Census Tract 30, Shelby County, Tennessee"
471570030001,"Block Group 1, Census Tract 30, Shelby County, Tennessee"
471570030002,"Block Group 2, Census Tract 30, Shelby County, Tennessee"
471570030003,"Block Group 3, Census Tract 30, Shelby County, Tennessee"
47157003100,"Census Tract 31, Shelby County, Tennessee"
471570031001,"Block Group 1, Census Tract 31, Shelby County, Tennessee"
471570031002,"Block Group 2, Census Tract 31, Shelby County, Tennessee"
471570031003,"Block Group 3, Census Tract 31, Shelby County, Tennessee"
471570031004,"Block Group 4, Census Tract 31, Shelby County, Tennessee"
47157003200,"Census Tract 32, Shelby County, Tennessee"
471570032001,"Block Group 1, Census Tract 32, Shelby County, Tennessee"
471570032002,"Block Group 2, Census Tract 32, Shelby County, Tennessee"
471570032003,"Block Group 3, Census Tract 32, Shelby County, Tennessee"
47157003300,"Census Tract 33, Shelby County, Tennessee"
471570033001,"Block Group 1, Census Tract 33, Shelby County, Tennessee"
471570033002,"Block Group 2, Census Tract 33, Shelby County, Tennessee"
47157003400,"Census Tract 34, Shelby County, Tennessee"
471570034001,"Block Group 1, Census Tract 34, Shelby County, Tennessee"
471570034002,"Block Group 2, Census Tract 34, Shelby County, Tennessee"
47157003500,"Census Tract 35, Shelby County, Tennessee"
471570035001,"Block Group 1, Census Tract 35, Shelby County, Tennessee"
471570035002,"Block Group 2, Census Tract 35, Shelby County, Tennessee"
471570035003,"Block Group 3, Census Tract 35, Shelby County, Tennessee"
47157003600,"Census Tract 36, Shelby County, Tennessee"
471570036001,"Block Group 1, Census Tract 36, Shelby County, Tennessee"
471570036002,"Block Group 2, Census Tract 36, Shelby County, Tennessee"
47157003700,"Census Tract 37, Shelby County, Tennessee"
471570037001,"Block Group 1, Census Tract 37, Shelby County, Tennessee"
471570037002,"Block Group 2, Census Tract 37, Shelby County, Tennessee"
47157003800,"Census Tract 38, Shelby County, Tennessee"
471570038001,"Block Group 1, Census Tract 38, Shelby County, Tennessee"
47157003900,"Census Tract 39, Shelby County, Tennessee"
471570039001,"Block Group 1, Census Tract 39, Shelby County, Tennessee"
47157004200,"Census Tract 42, Shelby County, Tennessee"
471570042001,"Block Group 1, Census Tract 42, Shelby County, Tennessee"
471570042002,"Block Group 2, Census Tract 42, Shelby County, Tennessee"
471570042003,"Block Group 3, Census Tract 42, Shelby County, Tennessee"
47157004300,"Census Tract 43, Shelby County, Tennessee"
471570043001,"Block Group 1, Census Tract 43, Shelby County, Tennessee"
471570043002,"Block Group 2, Census Tract 43, Shelby County, Tennessee"
47157004500,"Census Tract 45, Shelby County, Tennessee"
471570045001,"Block Group 1, Census Tract 45, Shelby County, Tennessee"
47157004600,"Census Tract 46, Shelby County, Tennessee"
471570046001,"Block Group 1, Census Tract 46, Shelby County, Tennessee"
471570046002,"Block Group 2, Census Tract 46, Shelby County, Tennessee"
47157005000,"Census Tract 50, Shelby County, Tennessee"
471570050001,"Block Group 1, Census Tract 50, Shelby County, Tennessee"
471570050002,"Block Group 2, Census Tract 50, Shelby County, Tennessee"
47157005300,"Census Tract 53, Shelby County, Tennessee"
471570053001,"Block Group 1, Census Tract 53, Shelby County, Tennessee"
471570053002,"Block Group 2, Census Tract 53, Shelby County, Tennessee"
471570053003,"Block Group 3, Census Tract 53, Shelby County, Tennessee"
47157005500,"Census Tract 55, Shelby County, Tennessee"
471570055001,"Block Group 1, Census Tract 55, Shelby County, Tennessee"
471570055002,"Block Group 2, Census Tract 55, Shelby County, Tennessee"
471570055003,"Block Group 3, Census Tract 55, Shelby County, Tennessee"
47157005600,"Census Tract 56, Shelby County, Tennessee"
471570056001,"Block Group 1, Census Tract 56, Shelby County, Tennessee"
471570056002,"Block Group 2, Census Tract 56, Shelby County, Tennessee"
471570056003,"Block Group 3, Census Tract 56, Shelby County, Tennessee"
47157005700,"Census Tract 57, Shelby County, Tennessee"
471570057001,"Block Group 1, Census Tract 57, Shelby County, Tennessee"
471570057002,"Block Group 2, Census Tract 57, Shelby County, Tennessee"
47157005800,"Census Tract 58, Shelby County, Tennessee"
471570058001,"Block Group 1, Census Tract 58, Shelby County, Tennessee"
471570058002,"Block Group 2, Census Tract 58, Shelby County, Tennessee"
47157005900,"Census Tract 59, Shelby County, Tennessee"
471570059001,"Block Group 1, Census Tract 59, Shelby County, Tennessee"
471570059002,"Block Group 2, Census Tract 59, Shelby County, Tennessee"
471570059003,"Block Group 3, Census Tract 59, Shelby County, Tennessee"
47157006000,"Census Tract 60, Shelby County, Tennessee"
471570060001,"Block Group 1, Census Tract 60, Shelby County, Tennessee"
471570060002,"Block Group 2, Census Tract 60, Shelby County, Tennessee"
47157006200,"Census Tract 62, Shelby County, Tennessee"
471570062001,"Block Group 1, Census Tract 62, Shelby County, Tennessee"
471570062002,"Block Group 2, Census Tract 62, Shelby County, Tennessee"
47157006300,"Census Tract 63, Shelby County, Tennessee"
471570063001,"Block Group 1, Census Tract 63, Shelby County, Tennessee"
471570063002,"Block Group 2, Census Tract 63, Shelby County, Tennessee"
471570063003,"Block Group 3, Census Tract 63, Shelby County, Tennessee"
47157006400,"Census Tract 64, Shelby County, Tennessee"
471570064001,"Block Group 1, Census Tract 64, Shelby County, Tennessee"
47157006500,"Census Tract 65, Shelby County, Tennessee"
471570065001,"Block Group 1, Census Tract 65, Shelby County, Tennessee"
471570065002,"Block Group 2, Census Tract 65, Shelby County, Tennessee"
47157006600,"Census Tract 66, Shelby County, Tennessee"
471570066001,"Block Group 1, Census Tract 66, Shelby County, Tennessee"
471570066002,"Block Group 2, Census Tract 66, Shelby County, Tennessee"
47157006700,"Census Tract 67, Shelby County, Tennessee"
471570067001,"Block Group 1, Census Tract 67, Shelby County, Tennessee"
471570067002,"Block Group 2, Census Tract 67, Shelby County, Tennessee"
471570067003,"Block Group 3, Census Tract 67, Shelby County, Tennessee"
471570067004,"Block Group 4, Census Tract 67, Shelby County, Tennessee"
47157006800,"Census Tract 68, Shelby County, Tennessee"
471570068001,"Block Group 1, Census Tract 68, Shelby County, Tennessee"
471570068002,"Block Group 2, Census Tract 68, Shelby County, Tennessee"
471570068003,"Block Group 3, Census Tract 68, Shelby County, Tennessee"
47157006900,"Census Tract 69, Shelby County, Tennessee"
471570069001,"Block Group 1, Census Tract 69, Shelby County, Tennessee"
471570069002,"Block Group 2, Census Tract 69, Shelby County, Tennessee"
471570069003,"Block Group 3, Census Tract 69, Shelby County, Tennessee"
47157007000,"Census Tract 70, Shelby County, Tennessee"
471570070001,"Block Group 1, Census Tract 70, Shelby County, Tennessee"
471570070002,"Block Group 2, Census Tract 70, Shelby County, Tennessee"
471570070003,"Block Group 3, Census Tract 70, Shelby County, Tennessee"
47157007100,"Census Tract 71, Shelby County, Tennessee"
471570071001,"Block Group 1, Census Tract 71, Shelby County, Tennessee"
471570071002,"Block Group 2, Census Tract 71, Shelby County, Tennessee"
47157007200,"Census Tract 72, Shelby County, Tennessee"
471570072001,"Block Group 1, Census Tract 72, Shelby County, Tennessee"
471570072002,"Block Group 2, Census Tract 72, Shelby County, Tennessee"
47157007300,"Census Tract 73, Shelby County, Tennessee"
471570073001,"Block Group 1, Census Tract 73, Shelby County, Tennessee"
471570073002,"Block Group 2, Census Tract 73, Shelby County, Tennessee"
471570073003,"Block Group 3, Census Tract 73, Shelby County, Tennessee"
47157007400,"Census Tract 74, Shelby County, Tennessee"
471570074001,"Block Group 1, Census Tract 74, Shelby County, Tennessee"
471570074002,"Block Group 2, Census Tract 74, Shelby County, Tennessee"
47157007500,"Census Tract 75, Shelby County, Tennessee"
471570075001,"Block Group 1, Census Tract 75, Shelby County, Tennessee"
471570075002,"Block Group 2, Census Tract 75, Shelby County, Tennessee"
47157007810,"Census Tract 78.10, Shelby County, Tennessee"
471570078101,"Block Group 1, Census Tract 78.10, Shelby County, Tennessee"
471570078102,"Block Group 2, Census Tract 78.10, Shelby County, Tennessee"
471570078103,"Block Group 3, Census Tract 78.10, Shelby County, Tennessee"
47157007821,"Census Tract 78.21, Shelby County, Tennessee"
471570078211,"Block Group 1, Census Tract 78.21, Shelby County, Tennessee"
471570078212,"Block Group 2, Census Tract 78.21, Shelby County, Tennessee"
471570078213,"Block Group 3, Census Tract 78.21, Shelby County, Tennessee"
471570078214,"Block Group 4, Census Tract 78.21, Shelby County, Tennessee"
471570078215,"Block Group 5, Census Tract 78.21, Shelby County, Tennessee"
47157007822,"Census Tract 78.22, Shelby County, Tennessee"
471570078221,"Block Group 1, Census Tract 78.22, Shelby County, Tennessee"
47157007900,"Census Tract 79, Shelby County, Tennessee"
471570079001,"Block Group 1, Census Tract 79, Shelby County, Tennessee"
471570079002,"Block Group 2, Census Tract 79, Shelby County, Tennessee"
471570079003,"Block Group 3, Census Tract 79, Shelby County, Tennessee"
471570079004,"Block Group 4, Census Tract 79, Shelby County, Tennessee"
471570079005,"Block Group 5, Census Tract 79, Shelby County, Tennessee"
47157008000,"Census Tract 80, Shelby County, Tennessee"
471570080001,"Block Group 1, Census Tract 80, Shelby County, Tennessee"
471570080002,"Block Group 2, Census Tract 80, Shelby County, Tennessee"
471570080003,"Block Group 3, Census Tract 80, Shelby County, Tennessee"
471570080004,"Block Group 4, Census Tract 80, Shelby County, Tennessee"
47157008110,"Census Tract 81.10, Shelby County, Tennessee"
471570081101,"Block Group 1, Census Tract 81.10, Shelby County, Tennessee"
471570081102,"Block Group 2, Census Tract 81.10, Shelby County, Tennessee"
471570081103,"Block Group 3, Census Tract 81.10, Shelby County, Tennessee"
47157008120,"Census Tract 81.20, Shelby County, Tennessee"
471570081201,"Block Group 1, Census Tract 81.20, Shelby County, Tennessee"
471570081202,"Block Group 2, Census Tract 81.20, Shelby County, Tennessee"
471570081203,"Block Group 3, Census Tract 81.20, Shelby County, Tennessee"
471570081204,"Block Group 4, Census Tract 81.20, Shelby County, Tennessee"
47157008200,"Census Tract 82, Shelby County, Tennessee"
471570082001,"Block Group 1, Census Tract 82, Shelby County, Tennessee"
471570082002,"Block Group 2, Census Tract 82, Shelby County, Tennessee"
471570082003,"Block Group 3, Census Tract 82, Shelby County, Tennessee"
471570082004,"Block Group 4, Census Tract 82, Shelby County, Tennessee"
471570082005,"Block Group 5, Census Tract 82, Shelby County, Tennessee"
47157008500,"Census Tract 85, Shelby County, Tennessee"
471570085001,"Block Group 1, Census Tract 85, Shelby County, Tennessee"
471570085002,"Block Group 2, Census Tract 85, Shelby County, Tennessee"
47157008600,"Census Tract 86, Shelby County, Tennessee"
471570086001,"Block Group 1, Census Tract 86, Shelby County, Tennessee"
471570086002,"Block Group 2, Census Tract 86, Shelby County, Tennessee"
471570086003,"Block Group 3, Census Tract 86, Shelby County, Tennessee"
47157008700,"Census Tract 87, Shelby County, Tennessee"
471570087001,"Block Group 1, Census Tract 87, Shelby County, Tennessee"
471570087002,"Block Group 2, Census Tract 87, Shelby County, Tennessee"
471570087003,"Block Group 3, Census Tract 87, Shelby County, Tennessee"
471570087004,"Block Group 4, Census Tract 87, Shelby County, Tennessee"
47157008800,"Census Tract 88, Shelby County, Tennessee"
471570088001,"Block Group 1, Census Tract 88, Shelby County, Tennessee"
471570088002,"Block Group 2, Census Tract 88, Shelby County, Tennessee"
471570088003,"Block Group 3, Census Tract 88, Shelby County, Tennessee"
471570088004,"Block Group 4, Census Tract 88, Shelby County, Tennessee"
47157008900,"Census Tract 89, Shelby County, Tennessee"
471570089001,"Block Group 1, Census Tract 89, Shelby County, Tennessee"
471570089002,"Block Group 2, Census Tract 89, Shelby County, Tennessee"
471570089003,"Block Group 3, Census Tract 89, Shelby County, Tennessee"
47157009100,"Census Tract 91, Shelby County, Tennessee"
471570091001,"Block Group 1, Census Tract 91, Shelby County, Tennessee"
471570091002,"Block Group 2, Census Tract 91, Shelby County, Tennessee"
47157009201,"Census Tract 92.01, Shelby County, Tennessee"
471570092011,"Block Group 1, Census Tract 92.01, Shelby County, Tennessee"
471570092012,"Block Group 2, Census Tract 92.01, Shelby County, Tennessee"
471570092013,"Block Group 3, Census Tract 92.01, Shelby County, Tennessee"
47157009202,"Census Tract 92.02, Shelby County, Tennessee"
471570092021,"Block Group 1, Census Tract 92.02, Shelby County, Tennessee"
471570092022,"Block Group 2, Census Tract 92.02, Shelby County, Tennessee"
47157009300,"Census Tract 93, Shelby County, Tennessee"
471570093001,"Block Group 1, Census Tract 93, Shelby County, Tennessee"
471570093002,"Block Group 2, Census Tract 93, Shelby County, Tennessee"
471570093003,"Block Group 3, Census Tract 93, Shelby County, Tennessee"
47157009400,"Census Tract 94, Shelby County, Tennessee"
471570094001,"Block Group 1, Census Tract 94, Shelby County, Tennessee"
471570094002,"Block Group 2, Census Tract 94, Shelby County, Tennessee"
47157009501,"Census Tract 95.01, Shelby County, Tennessee"
471570095011,"Block Group 1, Census Tract 95.01, Shelby County, Tennessee"
471570095012,"Block Group 2, Census Tract 95.01, Shelby County, Tennessee"
47157009502,"Census Tract 95.02, Shelby County, Tennessee"
471570095021,"Block Group 1, Census Tract 95.02, Shelby County, Tennessee"
471570095022,"Block Group 2, Census Tract 95.02, Shelby County, Tennessee"
47157009600,"Census Tract 96, Shelby County, Tennessee"
471570096001,"Block Group 1, Census Tract 96, Shelby County, Tennessee"
471570096002,"Block Group 2, Census Tract 96, Shelby County, Tennessee"
471570096003,"Block Group 3, Census Tract 96, Shelby County, Tennessee"
471570096004,"Block Group 4, Census Tract 96, Shelby County, Tennessee"
47157009700,"Census Tract 97, Shelby County, Tennessee"
471570097001,"Block Group 1, Census Tract 97, Shelby County, Tennessee"
471570097002,"Block Group 2, Census Tract 97, Shelby County, Tennessee"
47157009800,"Census Tract 98, Shelby County, Tennessee"
471570098001,"Block Group 1, Census Tract 98, Shelby County, Tennessee"
471570098002,"Block Group 2, Census Tract 98, Shelby County, Tennessee"
47157009901,"Census Tract 99.01, Shelby County, Tennessee"
471570099011,"Block Group 1, Census Tract 99.01, Shelby County, Tennessee"
471570099012,"Block Group 2, Census Tract 99.01, Shelby County, Tennessee"
471570099013,"Block Group 3, Census Tract 99.01, Shelby County, Tennessee"
47157009902,"Census Tract 99.02, Shelby County, Tennessee"
471570099021,"Block Group 1, Census Tract 99.02, Shelby County, Tennessee"
471570099022,"Block Group 2, Census Tract 99.02, Shelby County, Tennessee"
471570099023,"Block Group 3, Census Tract 99.02, Shelby County, Tennessee"
47157010001,"Census Tract 100.01, Shelby County, Tennessee"
471570100011,"Block Group 1, Census Tract 100.01, Shelby County, Tennessee"
471570100012,"Block Group 2, Census Tract 100.01, Shelby County, Tennessee"
47157010002,"Census Tract 100.02, Shelby County, Tennessee"
471570100021,"Block Group 1, Census Tract 100.02, Shelby County, Tennessee"
471570100022,"Block Group 2, Census Tract 100.02, Shelby County, Tennessee"
471570100023,"Block Group 3, Census Tract 100.02, Shelby County, Tennessee"
47157010120,"Census Tract 101.20, Shelby County, Tennessee"
471570101201,"Block Group 1, Census Tract 101.20, Shelby County, Tennessee"
471570101202,"Block Group 2, Census Tract 101.20, Shelby County, Tennessee"
471570101203,"Block Group 3, Census Tract 101.20, Shelby County, Tennessee"
471570101204,"Block Group 4, Census Tract 101.20, Shelby County, Tennessee"
471570101205,"Block Group 5, Census Tract 101.20, Shelby County, Tennessee"
47157010121,"Census Tract 101.21, Shelby County, Tennessee"
471570101211,"Block Group 1, Census Tract 101.21, Shelby County, Tennessee"
471570101212,"Block Group 2, Census Tract 101.21, Shelby County, Tennessee"
471570101213,"Block Group 3, Census Tract 101.21, Shelby County, Tennessee"
47157010122,"Census Tract 101.22, Shelby County, Tennessee"
471570101221,"Block Group 1, Census Tract 101.22, Shelby County, Tennessee"
471570101222,"Block Group 2, Census Tract 101.22, Shelby County, Tennessee"
471570101223,"Block Group 3, Census Tract 101.22, Shelby County, Tennessee"
47157010210,"Census Tract 102.10, Shelby County, Tennessee"
471570102101,"Block Group 1, Census Tract 102.10, Shelby County, Tennessee"
471570102102,"Block Group 2, Census Tract 102.10, Shelby County, Tennessee"
471570102103,"Block Group 3, Census Tract 102.10, Shelby County, Tennessee"
